cm4_pin,cm4_pin_name,connector,connector_pin,net,pad_x_mm_from_topleft,pad_y_mm_from_topleft,pad_y_mm_cpl
1,GND,J_CM_A,1,GND,54.87,22.97,96.03
2,GND,J_CM_A,2,GND,57.95,22.97,96.03
3,Ethernet_Pair3_P,J_CM_A,3,ETH3_P,54.87,23.37,95.63
4,Ethernet_Pair1_P,J_CM_A,4,ETH1_P,57.95,23.37,95.63
5,Ethernet_Pair3_N,J_CM_A,5,ETH3_N,54.87,23.77,95.23
6,Ethernet_Pair1_N,J_CM_A,6,ETH1_N,57.95,23.77,95.23
7,GND,J_CM_A,7,GND,54.87,24.17,94.83
8,GND,J_CM_A,8,GND,57.95,24.17,94.83
9,Ethernet_Pair2_N,J_CM_A,9,ETH2_N,54.87,24.57,94.43
10,Ethernet_Pair0_N,J_CM_A,10,ETH0_N,57.95,24.57,94.43
11,Ethernet_Pair2_P,J_CM_A,11,ETH2_P,54.87,24.97,94.03
12,Ethernet_Pair0_P,J_CM_A,12,ETH0_P,57.95,24.97,94.03
13,GND,J_CM_A,13,GND,54.87,25.37,93.63
14,GND,J_CM_A,14,GND,57.95,25.37,93.63
15,Ethernet_nLED3,J_CM_A,15,,54.87,25.77,93.23
16,Ethernet_SYNC_IN,J_CM_A,16,,57.95,25.77,93.23
17,Ethernet_nLED2,J_CM_A,17,NLED2,54.87,26.17,92.83
18,Ethernet_SYNC_OUT,J_CM_A,18,,57.95,26.17,92.83
19,Ethernet_nLED1,J_CM_A,19,NLED1,54.87,26.57,92.43
20,EEPROM_nWP,J_CM_A,20,,57.95,26.57,92.43
21,Pi_nLED_Activity,J_CM_A,21,,54.87,26.97,92.03
22,GND,J_CM_A,22,GND,57.95,26.97,92.03
23,GND,J_CM_A,23,GND,54.87,27.37,91.63
24,GPIO26,J_CM_A,24,NCS_ADC,57.95,27.37,91.63
25,GPIO21,J_CM_A,25,SW_REMOTE,54.87,27.77,91.23
26,GPIO19,J_CM_A,26,SW_WORK,57.95,27.77,91.23
27,GPIO20,J_CM_A,27,SW_ENGAGE,54.87,28.17,90.83
28,GPIO13,J_CM_A,28,GPS_RX,57.95,28.17,90.83
29,GPIO16,J_CM_A,29,CAN1_INT,54.87,28.57,90.43
30,GPIO6,J_CM_A,30,PIEZO_PWM,57.95,28.57,90.43
31,GPIO12,J_CM_A,31,GPS_TX,54.87,28.97,90.03
32,GND,J_CM_A,32,GND,57.95,28.97,90.03
33,GND,J_CM_A,33,GND,54.87,29.37,89.63
34,GPIO5,J_CM_A,34,RS232_2_RX,57.95,29.37,89.63
35,ID_SC,J_CM_A,35,RS232_1_RX,54.87,29.77,89.23
36,ID_SD,J_CM_A,36,RS232_1_TX,57.95,29.77,89.23
37,GPIO7,J_CM_A,37,NCS_CAN2,54.87,30.17,88.83
38,GPIO11,J_CM_A,38,SPI0_SCLK,57.95,30.17,88.83
39,GPIO8,J_CM_A,39,NCS_CAN1,54.87,30.57,88.43
40,GPIO9,J_CM_A,40,SPI0_MISO,57.95,30.57,88.43
41,GPIO25,J_CM_A,41,NCS_CAN3,54.87,30.97,88.03
